Date,Contract,Price
2018/9/19,201809,10872
2018/10/17,201810,9994
2018/11/21,201811,9743
2018/12/19,201812,9768
2019/1/16,201901,9784
2019/2/20,201902,10256
2019/3/20,201903,10545
2019/4/17,201904,11005
2019/5/15,201905,10580
2019/6/19,201906,10770
2019/7/17,201907,10831
2019/8/21,201908,10528
2019/9/18,201909,10960
2019/10/16,201910,11146
2019/11/20,201911,11608
2019/12/18,201912,12119
2020/1/15,202001,12063
2020/2/19,202002,11760
2020/3/18,202003,9264
2020/4/15,202004,10451
2020/5/20,202005,10887
2020/6/17,202006,11520
2020/7/15,202007,12220
2020/8/19,202008,12807
2020/9/16,202009,12969
2020/10/21,202010,12860
2020/11/18,202011,13756
2020/12/16,202012,14323
2021/1/20,202101,15766
2021/2/17,202102,16326
2021/3/17,202103,16177
2021/4/21,202104,17232
2021/5/19,202105,16137
2021/6/16,202106,17346
2021/7/21,202107,17431
2021/8/18,202108,16785
2021/9/15,202109,17382
2021/10/20,202110,16882
2021/11/17,202111,17723
2021/12/15,202112,17629
2022/1/19,202201,18217
2022/2/16,202202,18206
2022/3/16,202203,16937
2022/4/20,202204,17125
2022/5/18,202205,16302
2022/6/15,202206,16061
2022/7/20,202207,14713
2022/8/17,202208,15452
2022/9/21,202209,14402
2022/10/19,202210,12999
2022/11/16,202211,14499
2022/12/21,202212,14219
2023/1/30,202301,15450
2023/2/15,202302,15398
2023/3/15,202303,15405
2023/4/19,202304,15775
2023/5/17,202305,15953
2023/6/21,202306,17230
2023/7/19,202307,17103
2023/8/16,202308,16364
2023/9/20,202309,16537
2023/10/18,202310,16426
2023/11/15,202311,17123
2023/12/20,202312,17636
2024/1/17,202401,17168
2024/2/21,202402,18671
2024/3/20,202403,19748
2024/4/17,202404,20238
2024/5/15,202405,21143
2024/6/19,202406,23226
2024/7/17,202407,23680
2024/8/21,202408,22200
2024/9/18,202409,21619
2024/10/16,202410,22986
2024/11/20,202411,22686
2024/12/18,202412,23105
2025/1/15,202501,22519
2025/2/19,202502,23607
2025/3/19,202503,21964
2025/4/16,202504,19548
2025/5/21,202505,21848
2025/6/18,202506,22307
2025/7/16,202507,23047
2025/8/20,202508,23637
2025/9/17,202509,25433
2025/10/15,202510,25433
2025/11/19,202511,26615
